Database???Monthly
Month£º2000-2023
Indicators,Aug 2023,Jul 2023,Jun 2023,May 2023,Apr 2023,Mar 2023,Feb 2023,Jan 2023,Dec 2022,Nov 2022,Oct 2022,Sep 2022,Aug 2022,Jul 2022,Jun 2022,May 2022,Apr 2022,Mar 2022,Feb 2022,Jan 2022,Dec 2021,Nov 2021,Oct 2021,Sep 2021,Aug 2021,Jul 2021,Jun 2021,May 2021,Apr 2021,Mar 2021,Feb 2021,Jan 2021,Dec 2020,Nov 2020,Oct 2020,Sep 2020,Aug 2020,Jul 2020,June 2020,May 2020,Apr 2020,Mar 2020,Feb 2020,Jan 2020,Dec 2019,Nov 2019,Oct 2019,Sep 2019,Aug 2019,Jul 2019,Jun 2019,May 2019,Apr 2019,Mar 2019,Feb 2019,Jan 2019,Dec 2018,Nov 2018,Oct 2018,Sep 2018,Aug 2018,Jul 2018,Jun 2018,May 2018,Apr 2018,Mar 2018,Feb 2018,Jan 2018,Dec 2017,Nov 2017,Oct 2017,Sep 2017,Aug 2017,Jul 2017,Jun 2017,May 2017,Apr 2017,Mar 2017,Feb 2017,Jan 2017,Dec 2016,Nov 2016,Oct 2016,Sep 2016,Aug 2016,Jul 2016,Jun 2016,May 2016,Apr 2016,Mar 2016,Feb 2016,Jan 2016,Dec 2015,Nov 2015,Oct 2015,Sep 2015,Aug 2015,Jul 2015,Jun 2015,May 2015,Apr 2015,Mar 2015,Feb 2015,Jan 2015,Dec 2014,Nov 2014,Oct 2014,Sep 2014,Aug 2014,Jul 2014,Jun 2014,May 2014,Apr 2014,Mar 2014,Feb 2014,Jan 2014,Dec 2013,Nov 2013,Oct 2013,Sep 2013,Aug 2013,Jul 2013,Jun 2013,May 2013,Apr 2013,Mar 2013,Feb 2013,Jan 2013,Dec 2012,Nov 2012,Oct2012,Sep 2012,Aug 2012,Jul 2012,Jun2012,May 2012,Apr 2012,Mar 2012,Feb 2012,Jan 2012,Dec 2011,Nov 2011,Oct 2011,Sep 2011,Aug 2011,Jul 2011,Jun 2011,May 2011,Apr 2011,Mar 2011,Feb 2011,Jan 2011,Dec 2010,Nov 2010,Oct 2010,Sep 2010,Aug 2010,Jul 2010,Jun 2010,May 2010,Apr 2010,Mar 2010,Feb 2010,Jan 2010,Dec 2009,Nov 2009,Oct 2009,Sep 2009,Aug 2009,Jul 2009,Jun 2009,May 2009,Apr 2009,Mar 2009,Feb 2009,Jan 2009,Dec 2008,Nov 2008,Oct 2008,Sep 2008,Aug 2008,Jul 2008,Jun 2008,May 2008,Apr 2008,Mar 2008,Feb 2008,Jan 2008,Dec 2007,Nov 2007,Oct 2007,Sep 2007,Aug 2007,Jul 2007,Jun 2007,May 2007,Apr 2007,Mar 2007,Feb 2007,Jan 2007,Dec 2006,Nov 2006,Oct 2006,Sep 2006,Aug 2006,Jul 2006,Jun 2006,May 2006,Apr 2006,Mar 2006,Feb 2006,Jan 2006,Dec 2005,Nov 2005,Oct 2005,Sep 2005,Aug 2005,Jul 2005,Jun 2005,May 2005,Apr 2005,Mar 2005,Feb 2005,Jan 2005,Dec 2004,Nov 2004,Oct 2004,Sep 2004,Aug 2004,Jul 2004,Jun 2004,May 2004,Apr 2004,Mar 2004,Feb 2004,Jan 2004,Dec 2003,Nov 2003,Oct 2003,Sep 2003,Aug 2003,Jul 2003,Jun 2003,May 2003,Apr 2003,Mar 2003,Feb 2003,Jan 2003,Dec 2002,Nov 2002,Oct 2002,Sep 2002,Aug 2002,Jul 2002,Jun 2002,May 2002,Apr 2002,Mar 2002,Feb 2002,Jan 2002,Dec 2001,Nov 2001,Oct 2001,Sep 2001,Aug 2001,Jul 2001,Jun 2001,May 2001,Apr 2001,Mar 2001,Feb 2001,Jan 2001,Dec 2000,Nov 2000,Oct 2000,Sep 2000,Aug 2000,Jul 2000,Jun 2000,May 2000,Apr 2000,Mar 2000,Feb 2000,Jan 2000
Output of Electricity Current Period(100 million kwh),,8461.7,7399.0,6885.8,6583.5,7172.9,,,7578.5,6666.7,6610.0,6830.0,8248.0,8059.2,7090.3,6410.2,6085.7,6701.7,,,7233.7,6540.4,6393.5,6751.2,7383.5,7586.2,6860.5,6478.4,6230.1,6579.0,,,7277.2,6418.7,6094.5,6315.2,7238.3,6801.2,6304.1,5932.4,5542.7,5525.1,,,6544.2,5889.8,5714.2,5908.4,6682.4,6573.1,5833.9,5589.0,5440.2,5697.9,,,6199.9,5543.0,5330.2,5483.1,6404.9,6400.2,5550.6,5443.3,5107.8,5283.4,,,5698.6,5196.3,5038.1,5219.6,5945.5,6047.4,5203.0,4947.0,4767.2,5168.9,,,5328.9,5034.1,4875.8,4912.8,5617.2,5506.1,4907.9,4635.9,4444.5,4778.8,,,4910.3,4660.4,4453.5,4547.8,5155.3,5089.6,4745.3,4562.2,4450.3,4510.6,3653.9,,4902.2,4487.2,4446.4,4541.7,4959.3,5047.9,4580.7,4415.9,4250.2,4527.7,3833.6,,4779.6,4391.8,4305.2,4310.4,4987.0,4794.5,4252.6,4104.1,3994.4,4194.3,,,4327.2,4010.5,3897.7,3907.3,4372.8,4351.2,3933.5,3898.1,3718.2,4109.2,3701.7,,4038.1,3713.0,3640.4,3860.6,4260.4,4251.5,3968.2,3775.4,3663.8,3830.1,3100.8,,3677.8,3453.4,3328.8,3486.5,3903.3,3776.4,3466.6,3404.7,3316.4,3369.5,2695.9,,3497.8,3234.1,3121.0,3203.3,3443.2,3345.0,3100.1,2838.9,2712.9,2833.6,2449.4,,2739.6,2540.2,2645.0,2892.5,3160.6,3195.4,2934.5,2933.8,2814.3,2897.8,2337.8,,2946.9,2754.7,2727.9,2760.1,2989.8,2915.7,2715.6,2568.7,2474.5,2472.0,1967.3,,2573.4,2363.4,2324.3,2364.8,2570.5,2517.1,2301.9,2175.3,2116.6,2161.6,1962.0,,2246.6,2041.9,2011.0,2053.3,2162.1,2178.9,2006.8,1924.7,1892.1,1940.5,1601.1,,1931.3,1858.8,1844.3,1809.5,1921.0,1898.8,1748.1,1692.9,1678.9,1706.7,1570.5,,1710.6,1624.6,1581.1,1584.6,1700.3,1699.3,1514.3,1454.0,1427.2,1458.1,1258.0,,1514.1,1408.2,1385.2,1426.6,1456.0,1458.0,1354.8,1283.7,1249.7,1241.0,1010.4,,1313.1,1202.0,1180.4,1188.5,1268.8,1310.7,1192.2,1177.9,1116.7,1170.8,1054.5,,1194.0,1114.4,1089.7,1078.8,1174.1,1193.7,1098.1,1097.8,1037.2,1043.9,957.4,
Output of Electricity Accumulated(100 million kwh),,50130.4,41679.6,34216.4,27309.2,20711.8,13497.3,,83886.3,76285.8,69576.1,62867.4,55975.2,47725.6,39631.1,32483.8,26029.3,19922.2,13140.6,,81121.8,73826.7,67176.0,60721.2,53894.0,46450.2,38717.0,31772.3,25275.5,19051.5,12427.7,,74170.4,66824.4,60288.3,54085.6,47727.9,40450.9,33644.8,27325.3,21388.1,15822.1,10266.9,,71422.1,64796.4,58741.7,52967.3,47026.0,40300.5,33672.8,27809.2,22198.0,16747.4,10981.9,,67914.2,61626.0,55816.3,50361.7,44800.7,38373.3,31945.3,26361.2,20876.5,15762.7,10454.5,,62758.2,57118.2,51944.3,46891.4,41659.4,35697.6,29598.3,24367.7,19382.4,14587.2,9315.3,,59111.2,53700.8,48646.9,43732.3,38771.6,33120.5,27594.9,22676.1,17985.9,13551.4,8701.7,,56183.7,51256.7,46511.2,41989.5,37380.4,32208.4,27090.5,22186.6,17593.2,13102.7,8560.9,,54637.6,49745.5,45233.9,40754.8,36200.0,31248.7,26163.3,21488.9,17026.6,12719.4,8161.7,,52451.1,47412.5,43017.6,38688.4,34319.9,29228.7,24341.6,20018.3,15861.2,11822.8,7573.2,,48187.5,43843.3,39752.0,35833.9,31912.2,27436.4,22950.3,19101.6,15118.1,11445.8,7187.3,,46036.7,41939.0,38181.4,34540.1,30732.7,26425.9,22166.1,18161.8,14304.5,10650.7,6772.9,,41412.6,37744.6,34215.6,30905.9,27404.7,23478.1,19706.0,16275.6,12842.1,9489.2,6090.1,,36506.2,32916.4,29630.0,26510.9,23293.2,19780.4,16441.5,13328.4,10491.6,7797.0,4882.9,,34047.0,31292.7,28704.7,26072.2,23229.3,20062.8,16803.2,13881.9,10909.8,8051.3,5169.3,,32086.8,29194.8,26432.9,23702.4,20860.9,17849.5,14850.3,12082.4,9507.3,7011.7,4479.7,,27557.5,24897.9,22452.0,20111.2,17832.5,15191.0,12686.7,10357.2,8175.3,6068.3,4025.4,,24145.8,21801.9,19750.9,17739.8,15664.2,13488.0,11286.3,9254.8,7299.5,5449.3,3501.4,,21302.3,19271.3,17430.9,15574.8,13748.4,11825.8,9908.5,8175.7,6473.1,4793.6,3068.2,,18462.1,16758.8,15121.3,13527.4,11927.2,10227.6,8521.6,6975.5,5523.6,4088.8,2637.0,,16024.0,14476.7,13088.0,11758.9,10332.3,8894.7,7414.4,6058.2,4769.4,3508.2,2270.9,,14332.5,12967.9,11756.3,10568.0,9362.3,8088.1,6766.4,5560.9,4384.2,3397.6,2210.3,,13256.4,11956.2,10843.1,9727.2,8620.9,7453.2,6283.7,5197.2,4116.8,2999.1,2004.9,
Output of Electricity Growth Rate (The same period last year=100)(%),,3.6,2.8,5.6,6.1,5.1,,,3.0,0.1,1.3,-0.4,9.9,4.5,1.5,-3.3,-4.3,0.2,,,-2.1,0.2,3.0,4.9,0.2,9.6,7.4,7.9,11.0,17.4,,,9.1,6.8,4.6,5.3,6.8,1.9,6.5,4.3,0.3,-4.6,,,3.5,4.0,4.0,4.7,1.7,0.6,2.8,0.2,3.8,5.4,,,6.2,3.6,4.8,4.6,7.3,5.7,6.7,9.8,6.9,2.1,,,6.0,2.4,2.5,5.3,4.8,8.6,5.2,5.0,5.4,7.2,,,6.9,7.0,8.0,6.8,7.8,7.2,2.1,0.0,-1.7,4.0,,,-3.7,0.1,-3.2,-3.1,1.0,-2.0,0.5,-0.0,1.0,-3.7,-7.6,,1.3,0.6,1.9,4.1,-2.2,3.3,5.7,5.9,4.4,6.2,16.0,,8.3,6.8,8.4,8.2,13.4,8.1,6.0,4.1,6.2,2.1,,,7.6,7.9,6.4,1.5,2.7,2.1,,2.7,0.7,7.2,20.6,,9.7,8.5,9.3,11.5,10.0,13.2,16.2,12.1,11.7,14.8,15.4,,5.1,5.6,5.9,8.1,12.6,11.5,11.4,18.9,21.4,17.6,7.9,,25.9,26.9,17.1,9.5,9.3,4.8,5.2,-2.7,-3.5,-1.3,5.9,,-7.9,-9.6,-4.0,3.4,5.1,8.1,8.3,11.8,12.8,16.6,14.3,,12.3,13.8,13.9,15.5,15.0,15.5,17.0,16.0,15.4,13.7,5.3,,14.6,14.7,14.4,14.0,16.4,13.5,14.0,12.5,11.2,11.1,18.3,,14.7,10.9,9.4,12.7,12.0,14.9,13.6,13.5,12.7,13.4,-0.6,,11.8,14.4,15.8,11.8,12.1,11.7,14.3,16.6,16.2,15.4,24.7,,13.4,15.6,14.8,15.5,16.9,15.2,13.1,13.4,14.1,16.2,23.0,,14.6,17.1,16.1,18.6,13.7,11.4,13.4,8.5,10.6,6.2,-3.2,,9.6,7.4,8.5,8.8,6.3,10.2,8.5,7.7,7.7,11.1,12.8,,8.5,9.5,9.3,7.0,10.6,13.5,12.5,12.8,6.9,7.1,15.3,
Output of Electricity Accumulated Growth Rate(%),,3.8,3.8,3.9,3.4,2.4,0.7,,2.2,2.1,2.2,2.2,2.5,1.4,0.7,0.5,1.3,3.1,4.0,,8.1,9.2,10.0,10.7,11.3,13.2,13.7,14.9,16.8,19.0,19.5,,2.7,2.0,1.4,0.9,0.3,-0.9,-1.4,-3.1,-5.0,-6.8,-8.2,,3.5,3.4,3.1,3.0,2.8,3.0,3.3,3.3,4.1,4.2,2.9,,6.8,6.9,7.2,7.4,7.7,7.8,8.3,8.5,7.7,8.0,11.0,,5.7,5.7,6.0,6.4,6.5,6.8,6.3,6.4,6.6,6.7,6.3,,4.5,4.2,3.9,3.4,3.0,2.0,1.0,0.9,0.9,1.8,0.3,,-0.2,0.1,-0.1,0.1,0.5,0.4,0.6,0.2,0.2,-0.1,1.9,,3.2,3.9,4.2,4.4,4.4,5.5,5.8,5.7,5.6,5.8,5.5,,7.6,7.0,7.0,6.8,6.4,5.2,4.4,4.0,3.8,2.9,3.4,,4.7,4.4,3.9,3.6,3.8,3.8,3.7,4.7,5.0,7.1,7.1,,12.0,12.0,12.3,12.7,13.0,13.3,13.5,12.8,12.6,13.4,11.7,,13.3,14.0,14.9,16.1,17.2,17.9,19.3,21.4,21.5,20.8,22.1,,7.0,5.2,3.2,1.9,0.8,-0.7,-1.7,-3.2,-3.2,-2.0,-3.7,,5.5,6.8,8.3,9.9,10.9,11.9,12.9,13.7,14.1,14.0,11.3,,14.9,15.8,16.2,16.4,16.3,16.5,16.0,15.8,15.6,15.5,16.6,,13.7,13.5,13.0,12.9,12.7,12.1,12.0,11.3,11.1,11.1,11.2,,13.3,12.9,12.8,13.4,13.4,13.6,13.2,13.4,12.6,13.0,12.1,,14.9,15.0,15.0,14.5,14.8,15.2,15.8,16.1,15.8,15.7,15.3,,15.4,15.5,15.4,15.6,15.5,15.3,15.4,15.5,16.0,16.0,16.6,,11.7,11.4,10.8,10.6,9.8,9.5,8.8,7.8,7.3,6.5,7.1,,8.5,8.4,8.5,8.4,8.4,8.6,7.8,7.4,7.5,11.8,5.9,,10.7,10.2,10.3,10.1,10.4,10.5,9.9,9.5,9.0,8.7,9.7,
Data Sources£ºNational Bureau of Statistics
